sn,symph,title,hit,time,isImg,comment_count,link,create_date
18378926,39,로이터에서 제공하는 이태원 참사 경위 링크입니다,5057,2023-10-22 21:13:16,0,2,/service/board/park/18378926?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378928,5,"물가 오르니.. 음식퀄리티.. 폭망이네요.. ( BBQ, 교촌, 프랭크, 크라이 )",7153,2023-10-22 21:13:59,0,25,/service/board/park/18378928?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378929,60,박주민 의원 - 전세사기 보완입법 12월 진행,6064,2023-10-22 21:14:37,1,16,/service/board/park/18378929?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378930,1,8407번은 언제쯤 공공버스로 전환될지 모르겠네요...,1318,2023-10-22 21:15:14,1,5,/service/board/park/18378930?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378932,1,자연재해는 심해지고 디지털기술로 대비해야하는데 예산은 0원,1283,2023-10-22 21:18:39,1,2,/service/board/park/18378932?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378934,0,출근 12시간전 안드로이드(구글) TV 질문 받아 봅니다.,1247,2023-10-22 21:23:22,0,6,/service/board/park/18378934?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378935,5,아니 뭐 이런 개쓰레기 같은 문자가…,5045,2023-10-22 21:24:07,1,4,/service/board/park/18378935?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378936,2,Natalie Imbruglia의 Torn이라는 곡을 아시나요?,989,2023-10-22 21:24:19,0,26,/service/board/park/18378936?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378937,2,제대로 경양식 돈까스 겁나 땡기는군요.,4924,2023-10-22 21:24:29,1,13,/service/board/park/18378937?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378938,0,오늘 신구대 식물원에 갔다 왔습니다.,2267,2023-10-22 21:24:51,1,0,/service/board/park/18378938?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378939,3,로보캅 & Cyberpunk2077,3015,2023-10-22 21:25:40,1,5,/service/board/park/18378939?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378940,3,코로나 백신 5회차!,2436,2023-10-22 21:25:56,1,5,/service/board/park/18378940?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378941,1,독일 사람이 발음하기 어려운 한국어 '이름',8737,2023-10-22 21:26:30,1,15,/service/board/park/18378941?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378942,0,이두나 완주 했습니다.,3140,2023-10-22 21:27:00,0,2,/service/board/park/18378942?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378943,2,혈압 아주 좋아졌네요 👏,5552,2023-10-22 21:27:17,1,12,/service/board/park/18378943?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378944,16,크러쉬 보는중입니다.,6852,2023-10-22 21:27:37,1,8,/service/board/park/18378944?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378945,0,행운의편지 카톡버전,2010,2023-10-22 21:28:47,0,4,/service/board/park/18378945?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378947,13,혼밥하면 앞에 강아지가 있어주는 설렁탕집,9721,2023-10-22 21:29:39,1,23,/service/board/park/18378947?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378954,0,트위터가 별걸 다 제공하네요?,2962,2023-10-22 21:38:28,1,2,/service/board/park/18378954?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378955,2,하이트 제로 괜찮네요~,1630,2023-10-22 21:39:50,0,8,/service/board/park/18378955?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378956,4,국내에 세계 양대 가전업체가 있다는게 그래도 꽤 축복인듯합니다,6879,2023-10-22 21:40:33,0,23,/service/board/park/18378956?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378957,16,고니 셀카모드,2594,2023-10-22 21:43:45,1,7,/service/board/park/18378957?od=T31&po=271&category=0&groupCd=community,2023-10-29 17:19:35
18378958,0,Charlie Puth (찰리 푸스) 콘서트 다녀왔습니다.,1871,2023-10-22 21:43:53,0,5,/service/board/park/18378958?od=T31&po=270&category=0&groupCd=community,2023-10-29 17:19:30
18378959,3,고양이 발(?) 보고 가세용,2949,2023-10-22 21:44:26,1,7,/service/board/park/18378959?od=T31&po=270&category=0&groupCd=community,2023-10-29 17:19:30
18378961,25,"“김한길, 비명계 포함 ‘제3지대’ 구상”.gisa",9547,2023-10-22 21:45:12,1,30,/service/board/park/18378961?od=T31&po=270&category=0&groupCd=community,2023-10-29 17:19:30
